iter	RMSE
0	1397.217075
1	1354.630153
2	1316.020187
3	1277.246659
4	1242.249087
5	1204.935125
6	1171.989337
7	1140.617114
8	1107.918231
9	1081.233792
10	1053.208799
11	1030.220979
12	1001.054554
13	975.4073521
14	952.7061526
15	929.2732228
16	907.2782837
17	888.7866477
18	869.6212399
19	850.29261
20	834.0715312
21	816.9624082
22	800.9768673
23	785.5494355
24	771.871724
25	757.4315613
26	744.7903987
27	732.578699
28	721.0650133
29	709.245131
30	698.6236174
31	689.0658984
32	678.9723041
33	669.1245609
34	661.5128286
35	653.1339869
36	645.4024874
37	638.2939849
38	630.859857
39	624.0481159
40	618.3097246
41	612.5864181
42	605.1711189
43	600.371883
44	594.6096911
45	589.4814315
46	583.6784795
47	578.4544343
48	573.0997944
49	568.9347994
50	563.4599286
51	560.0928728
52	556.8525093
53	552.2355499
54	548.0102109
55	544.7827132
56	542.5039414
57	539.4837938
58	535.4594609
59	532.5904777
60	528.7368931
61	526.7365637
62	524.0356848
63	520.4950132
64	516.7953159
65	514.6072668
66	510.6736562
67	507.3673499
68	504.7095257
69	501.8006625
70	499.1004699
71	496.942282
72	494.2458503
73	492.0375946
74	489.8254944
75	487.8703864
76	486.0925467
77	483.6073785
78	481.0620051
79	478.6672026
80	477.0468571
81	475.4025178
82	473.8650369
83	471.8271916
84	470.2479309
85	467.7646464
86	465.8095949
87	464.1582764
88	461.3286099
89	459.2374649
90	457.3265658
91	455.6092432
92	453.6066992
93	452.4951024
94	450.5778453
95	448.6771206
96	447.1942513
97	445.7061681
98	444.1639339
99	442.9744706
100	441.279184
101	439.7780653
102	438.9311736
103	436.9754071
104	435.4661552
105	433.7146025
106	432.1852501
107	430.9631937
108	429.2085732
109	427.8597747
110	426.7168182
111	425.2484737
112	423.9499395
113	422.8680225
114	421.6668107
115	420.5443692
116	419.4239159
117	418.2458245
118	417.3173156
119	416.3112814
120	415.5515592
121	414.2644867
122	413.1798235
123	412.1480972
124	411.2456708
125	410.2352674
126	409.5611539
127	408.6734416
128	407.4139766
129	406.2211107
130	405.3389178
131	404.3698467
132	403.3863099
133	402.608445
134	401.8108511
135	401.0258219
136	399.9556704
137	399.3817144
138	398.6933628
139	397.7636424
140	397.0207743
141	396.1823171
142	395.9249475
143	394.7012233
144	394.0315826
145	392.7301685
146	391.1822539
147	389.4488027
148	388.7235868
149	387.7572806
150	386.3477834
151	385.9803122
152	385.1936727
153	384.6827183
154	384.1563396
155	383.6547156
156	383.1496708
157	382.123322
158	380.8923008
159	380.4051067
160	379.5703229
161	379.0087984
162	378.6520097
163	378.250688
164	378.0009585
165	377.4956494
166	377.0715803
167	375.3816395
168	374.2013636
169	373.379899
170	372.2052758
171	371.824014
172	370.6313595
173	369.7431103
174	369.1473722
175	368.5396928
176	366.7997278
177	366.1663648
178	365.8486498
179	364.5299685
180	364.2453403
181	364.0100776
182	362.7445288
183	361.774319
184	361.0683255
185	360.0861154
186	359.1817447
187	358.8023319
188	358.5065963
189	358.2170776
190	357.3765511
191	356.1889922
192	355.4802876
193	353.5633075
194	352.9819057
195	352.177252
196	351.4189792
197	349.904612
198	348.2053753
199	347.9606997
200	347.1596532
201	346.3012039
202	345.1888499
203	344.8843381
204	344.2686839
205	343.5224552
206	342.9794315
207	342.3327475
208	341.8634335
209	341.382393
210	340.4482202
211	340.2810994
212	339.9578132
213	339.6560662
214	338.9787712
215	337.3760283
216	336.8062925
217	336.5800596
218	335.580053
219	335.2065045
220	335.0681896
221	334.5159584
222	334.0519715
223	333.5194476
224	331.9919267
225	331.6586261
226	331.105953
227	330.6335591
228	330.2402277
229	329.603444
230	328.2386886
231	326.8010876
232	326.4461836
233	325.2554867
234	324.4384127
235	324.309026
236	323.1675949
237	322.1941723
238	321.9616555
239	321.4755558
240	320.6333219
241	319.7248928
242	319.3865855
243	318.6795248
244	318.2628385
245	317.4552352
246	316.5334497
247	315.8172917
248	315.4655225
249	315.0851662
250	314.3897526
251	314.0078173
252	312.7845403
253	311.7737294
254	311.228325
255	310.5744211
256	309.9795127
257	308.9191361
258	308.5678152
259	307.1240198
260	306.8231205
261	306.2838243
262	305.7975073
263	304.6283072
264	304.2263695
265	303.9544193
266	303.1158346
267	302.3450646
268	301.7853236
269	301.3649607
270	300.8763958
271	299.7740907
272	299.449135
273	298.367742
274	298.0996908
275	297.8926173
276	297.0096506
277	296.636561
278	296.3683897
279	295.4582256
280	294.477142
281	294.1330219
282	293.7634137
283	293.6029395
284	293.3750868
285	292.9125446
286	291.9408274
287	291.0670199
288	290.3229882
289	288.9379817
290	288.412312
291	287.6862748
292	286.6806704
293	286.0751064
294	285.8113209
295	285.4416124
296	284.9643443
297	284.0242259
298	283.8728118
299	283.4905123
